user,room,weight
658,26,1
658,31,2
658,33,1
658,122,1
658,36,5
658,40,3
658,54,1
38835,36,23
38835,101,4
659,216,4
659,231,2
659,89,5
661,53,7
661,204,6
666,33,387
666,107,1
666,71,3
666,109,1
667,7,4
667,42,1
667,101,9
667,127,4
66672,216,4
66672,162,7
66672,256,123
66672,204,2
66672,75,3
669,160,2
669,321,9
669,59,1
669,590,11
669,68,5
669,448,9
671,33,7
671,246,2
671,185,7
66673,29,14
66673,31,15
66673,33,8
66673,35,1
66673,7,3
66673,107,1
66673,40,171
66673,67,5
66674,33,28
66674,71,7
66674,109,9
672,33,10
674,133,10
674,222,1
674,343,1
676,86,92
676,225,13
676,97,7
676,256,2
676,237,4
677,216,21
677,320,2
677,37,2
677,40,3
677,346,8
38841,33,76
38841,107,49
38841,71,4
38841,109,77
680,231,15
680,109,1
66675,272,15
66675,256,2
66675,42,3
66676,33,4
66676,175,8
66677,175,42
66678,29,1
66678,320,3
66678,122,2
66678,107,2
66678,247,1
66678,38,1
66678,93,1
682,53,63
38842,218,14
684,33,5
684,35,1
684,36,2
684,107,13
684,71,4
684,53,78
684,109,22
684,67,6
685,84,28
66679,79,19
66679,320,5
66679,225,4
66679,330,1
66679,247,4
66679,175,2
66679,94,23
66679,96,38
66679,236,1
66679,141,1
66679,204,2
66679,42,1
686,216,16
686,133,1
686,167,7
686,107,1
686,96,1
686,141,4
686,143,21
686,288,6
687,160,1
687,33,45
687,88,18
687,107,1
687,256,6
687,141,1
688,320,19
688,368,3
688,33,1
688,71,1
688,508,1
688,248,1
688,69,1
66680,33,25
66680,71,9
66680,109,5
38846,31,12
66681,33,11
66681,71,7
66681,67,1
38847,33,50
38847,175,4
38847,71,1
38847,109,1
66682,29,5
66682,33,9
66682,35,16
66682,122,2
66683,33,10
66683,7,2
66683,40,11
66683,109,3
38848,210,19
699,33,21
699,107,1
699,71,3
699,53,2
66684,33,67
66684,38,4
66685,33,22
702,33,7
702,40,2
702,109,3
706,86,4
706,89,3
706,508,1
38850,33,2
38850,71,1
38850,109,20
712,29,10
714,106,1
714,35,2
714,36,22
714,59,1
714,107,5
714,175,3
714,508,1
714,52,1
66686,33,54
66686,109,2
716,73,2
716,33,15
716,35,1
716,175,1
717,330,26
717,293,7
38852,40,8
718,33,2
718,36,9
718,175,4
718,109,1
38853,33,6
38853,58,7
38853,74,1
38853,40,12
38853,109,110
721,38,1
721,109,3
721,54,13
66687,33,28
66687,107,1
66687,109,3
730,33,1
730,109,8
731,365,1
731,115,13
731,33,2
731,107,5
731,71,18
731,210,14
731,97,1
731,169,3
731,431,1
66688,160,33
66688,71,1
38855,33,21
38855,107,1
736,33,40
736,35,1
736,37,56
66689,160,9
66689,33,1
66689,107,1
66689,175,4
66689,71,1
38857,38,24
66690,71,9
739,160,8
739,35,1
741,81,5
741,41,2
741,143,1
743,33,4
743,107,8
743,109,9
66691,33,8
745,365,1
745,31,6
745,114,7
745,160,9
745,173,6
66692,33,29
66692,109,1
66692,67,3
748,33,188
748,58,1
748,107,10
748,71,43
748,109,195
66693,33,16
66693,71,2
750,86,210
750,35,1
750,37,1
755,160,6
755,33,47
755,71,1
755,109,14
756,160,5
756,33,2
756,107,2
756,109,4
66694,37,8
66695,204,8
758,33,7
758,71,2
758,109,2
761,133,1
761,37,10
761,59,3
761,141,1
66696,88,4
66696,122,1
66696,141,3
764,114,4
764,160,2
764,33,356
764,36,80
764,222,1
764,7,3
764,40,12
